,eleicao,codmun,vencedor,vt_dir,vt_esq,qt_secoes,codmicro,codmeso,uf,regiao,lat,long,escala_idh,escala_dens
4279,2018,2614006,ESQUERDA,948,9763,46,260102,2601,PE,NE,"-7,954340398","-39,29262317",BAIXA,BAIXA
4280,2022,2614006,ESQUERDA,1202,10220,49,260102,2601,PE,NE,"-7,954340398","-39,29262317",BAIXA,BAIXA
4281,2018,2614105,ESQUERDA,2417,15700,92,260104,2601,PE,NE,"-8,07245","-37,2673901",MEDIA,BAIXA
4282,2022,2614105,ESQUERDA,2573,15461,93,260104,2601,PE,NE,"-8,07245","-37,2673901",MEDIA,BAIXA
4283,2018,2614204,ESQUERDA,6245,13461,85,260415,2604,PE,NE,"-8,5933695","-35,11640535",BAIXA,MUITO ALTA
4284,2022,2614204,DIREITA,129,124,1,260415,2604,PE,NE,"-8,5933695","-35,11640535",BAIXA,MUITO ALTA
4285,2022,2614204,ESQUERDA,6853,14006,84,260415,2604,PE,NE,"-8,5933695","-35,11640535",BAIXA,MUITO ALTA
4286,2018,2614303,ESQUERDA,533,6120,28,260101,2601,PE,NE,"-7,629982688","-39,55375373",MEDIA,MEDIA
4287,2022,2614303,ESQUERDA,818,6448,29,260101,2601,PE,NE,"-7,629982688","-39,55375373",MEDIA,MEDIA
4288,2018,2614402,ESQUERDA,400,3588,15,260103,2601,PE,NE,"-7,602125684","-37,64747024",BAIXA,ALTA
4289,2022,2614402,ESQUERDA,492,3752,16,260103,2601,PE,NE,"-7,602125684","-37,64747024",BAIXA,ALTA
4290,2018,2614501,ESQUERDA,11188,22848,137,260309,2603,PE,NE,"-7,835157057","-35,7567841",MEDIA,MUITO ALTA
4291,2022,2614501,ESQUERDA,11284,25284,140,260309,2603,PE,NE,"-7,835157057","-35,7567841",MEDIA,MUITO ALTA
4292,2018,2614600,ESQUERDA,2083,13138,67,260103,2601,PE,NE,"-7,591136513","-37,54026577",MEDIA,MUITO ALTA
4293,2022,2614600,ESQUERDA,2707,13249,66,260103,2601,PE,NE,"-7,591136513","-37,54026577",MEDIA,MUITO ALTA
4294,2018,2614709,ESQUERDA,1610,5724,33,260308,2603,PE,NE,"-8,315610725","-36,2904043",BAIXA,ALTA
4295,2022,2614709,ESQUERDA,1771,6024,39,260308,2603,PE,NE,"-8,315610725","-36,2904043",BAIXA,ALTA
4296,2018,2614808,ESQUERDA,1274,10527,50,260206,2602,PE,NE,"-9,105699644","-38,15346116",BAIXA,BAIXA
4297,2022,2614808,ESQUERDA,1602,11201,55,260206,2602,PE,NE,"-9,105699644","-38,15346116",BAIXA,BAIXA
